B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
3074.0,2749.0,0.0,25.0,62.0,238.0,48191
10679.0,9948.0,0.0,74.0,112.0,545.0,48159
19394.0,16298.0,0.0,82.0,689.0,2325.0,48163
20640.0,18944.0,100.0,724.0,340.0,532.0,48281
26911.0,25522.0,47.0,205.0,715.0,422.0,50019
6965.0,6615.0,0.0,57.0,237.0,56.0,50013
162052.0,145370.0,130.0,1985.0,7596.0,6971.0,50007
25268.0,24241.0,18.0,221.0,275.0,513.0,50015
49025.0,47161.0,95.0,410.0,789.0,570.0,50011
30425.0,29560.0,31.0,159.0,341.0,334.0,50005
43150.0,41103.0,85.0,470.0,827.0,665.0,50025
35920.0,34479.0,4.0,283.0,547.0,607.0,50003
36939.0,34878.0,63.0,290.0,850.0,858.0,50001
6208.0,5914.0,4.0,70.0,144.0,76.0,50009
58477.0,56233.0,30.0,556.0,1119.0,539.0,50023
12733.0,11679.0,8.0,14.0,276.0,756.0,49027
65185.0,62235.0,56.0,242.0,984.0,1668.0,49045
160537.0,150592.0,202.0,1049.0,3657.0,5037.0,49053
7350.0,7086.0,0.0,60.0,182.0,22.0,49025
40511.0,36197.0,29.0,366.0,1307.0,2612.0,49043
9616.0,8661.0,0.0,119.0,183.0,653.0,49019
1904.0,1895.0,0.0,7.0,2.0,0.0,49031
2350.0,2335.0,0.0,2.0,4.0,9.0,49033
30523.0,27801.0,0.0,405.0,847.0,1470.0,49051
6443.0,6037.0,8.0,0.0,108.0,290.0,49001
53001.0,50862.0,19.0,331.0,883.0,906.0,49003
49691.0,46940.0,0.0,560.0,793.0,1398.0,49021
11228.0,10752.0,22.0,54.0,59.0,341.0,13005
18561.0,18148.0,5.0,153.0,121.0,134.0,13025
17154.0,16574.0,28.0,14.0,164.0,374.0,13017
22550.0,21793.0,170.0,135.0,167.0,285.0,13033
66299.0,64314.0,18.0,400.0,684.0,883.0,13047
10767.0,9599.0,178.0,337.0,364.0,289.0,13053
24817.0,24029.0,38.0,76.0,145.0,529.0,13055
147295.0,132578.0,853.0,3025.0,5982.0,4857.0,13073
26833.0,25913.0,34.0,168.0,177.0,541.0,13087
96824.0,89721.0,75.0,378.0,2069.0,4581.0,13115
219880.0,180309.0,475.0,2354.0,15999.0,20743.0,13117
44289.0,39838.0,70.0,301.0,1386.0,2694.0,13137
25631.0,24830.0,0.0,141.0,291.0,369.0,13147
114582.0,107976.0,200.0,1583.0,2069.0,2754.0,13185
14120.0,13627.0,96.0,69.0,257.0,71.0,13191
21113.0,20701.0,23.0,137.0,60.0,192.0,13199
33207.0,32445.0,0.0,156.0,480.0,126.0,19125
22143.0,21276.0,16.0,64.0,435.0,352.0,19183
12804.0,12094.0,17.0,51.0,233.0,409.0,19197
13191.0,12958.0,1.0,13.0,54.0,165.0,19029
11468.0,11313.0,14.0,27.0,50.0,64.0,19035
17132.0,14174.0,0.0,84.0,569.0,2305.0,19047
39600.0,38596.0,157.0,132.0,254.0,461.0,19057
19929.0,19638.0,6.0,33.0,101.0,151.0,19065
14143.0,14014.0,7.0,50.0,32.0,40.0,19085
15075.0,14821.0,0.0,61.0,80.0,113.0,19109
14957.0,14597.0,5.0,161.0,111.0,83.0,19129
8796.0,8712.0,0.0,19.0,24.0,41.0,19133
42950.0,39571.0,179.0,509.0,1266.0,1425.0,19139
6115.0,5851.0,0.0,19.0,22.0,223.0,19143
474274.0,428479.0,287.0,2943.0,17905.0,24660.0,19153
36757.0,35659.0,37.0,90.0,303.0,668.0,19187
96922.0,86625.0,106.0,812.0,2008.0,7371.0,19169
