B19013_001E,geoid
53231.0,08081
43188.0,08083
45718.0,08085
43774.0,08087
33848.0,08089
64601.0,08091
61570.0,08093
43011.0,08095
72745.0,08097
34391.0,08099
41777.0,08101
60128.0,08103
38993.0,08105
62002.0,08107
34600.0,08109
39583.0,08111
63594.0,08113
40221.0,08115
63697.0,08117
59040.0,08119
44683.0,08121
57180.0,08123
44308.0,08125
82283.0,09001
64967.0,09003
71338.0,09005
76994.0,09007
61996.0,09009
66583.0,09011
80529.0,09013
59333.0,09015
55149.0,10001
64537.0,10003
52710.0,10005
65830.0,11001
42149.0,12001
49236.0,12003
47461.0,12005
40259.0,12007
48039.0,12009
51251.0,12011
32780.0,12013
44378.0,12015
39100.0,12017
59482.0,12019
55843.0,12021
38070.0,12023
34963.0,12027
33981.0,12029
48323.0,12031
43918.0,12033
47233.0,12035
38328.0,12037
35380.0,12039
38406.0,12041
34694.0,12043
40455.0,12045
37716.0,12047
37125.0,12049
35425.0,12051
41024.0,12053
35560.0,12055
49596.0,12057
35511.0,12059
44772.0,12061
36809.0,12063
44170.0,12065
39722.0,12067
45035.0,12069
47439.0,12071
46369.0,12073
34348.0,12075
39681.0,12077
33833.0,12079
47876.0,12081
39453.0,12083
49846.0,12085
43100.0,12086
53607.0,12087
55315.0,12089
54684.0,12091
34570.0,12093
47581.0,12095
43891.0,12097
52432.0,12099
43888.0,12101
45535.0,12103
43113.0,12105
32497.0,12107
64876.0,12109
43413.0,12111
57703.0,12113
49052.0,12115
58175.0,12117
48493.0,12119
35698.0,12121
36356.0,12123
42660.0,12125
42457.0,12127
52691.0,12129
43640.0,12131
38501.0,12133
36786.0,13001
30049.0,13003
33757.0,13005
27353.0,13007
32751.0,13009
41141.0,13011
53274.0,13013
47197.0,13015
28547.0,13017
32258.0,13019
37550.0,13021
36073.0,13023
36070.0,13025
34419.0,13027
64707.0,13029
35840.0,13031
31494.0,13033
49754.0,13035
26986.0,13037
51990.0,13039
35070.0,13043
46147.0,13045
47087.0,13047
40111.0,13049
45794.0,13051
48758.0,13053
33228.0,13055
67261.0,13057
33060.0,13059
21192.0,13061
40606.0,13063
30345.0,13065
63920.0,13067
35693.0,13069
32484.0,13071
69306.0,13073
34985.0,13075
60813.0,13077
41586.0,13079
35240.0,13081
43205.0,13083
53525.0,13085
30619.0,13087
50856.0,13089
37292.0,13091
29012.0,13093
31671.0,13095
12615.0,72045
18046.0,72091
15696.0,72125
22947.0,72119
17139.0,72075
19085.0,72087
14938.0,72111
21588.0,72029
15842.0,72117
40674.0,23017
43734.0,23019
36646.0,23021
56733.0,23023
38642.0,23025
42221.0,23027
37236.0,23029
57348.0,23031
39293.0,24001
87430.0,24003
66486.0,24005
95477.0,24009
58632.0,24011
84790.0,24013
66689.0,24015
93160.0,24017
46361.0,24019
84570.0,24021
45206.0,24023
80622.0,24025
109865.0,24027
56259.0,24029
98221.0,24031
73623.0,24033
87256.0,24035
85672.0,24037
38447.0,24039
61597.0,24041
55609.0,24043
51092.0,24045
57952.0,24047
41385.0,24510
60526.0,25001
48450.0,25003
55298.0,25005
66288.0,25007
67311.0,25009
53663.0,25011
49094.0,25013
61227.0,25015
82090.0,25017
85478.0,25019
84916.0,25021
75092.0,25023
53540.0,25025
65223.0,25027
37189.0,26001
37586.0,26003
52061.0,26005
38016.0,26007
45362.0,26009
38874.0,26011
41189.0,26013
52186.0,26015
