B05001_001E,B05001_002E,B05001_003E,B05001_004E,B05001_005E,B05001_006E,geoid
4790.0,4734.0,0.0,13.0,0.0,43.0,01073013400
1671.0,1662.0,0.0,5.0,4.0,0.0,01073013901
9774.0,8972.0,0.0,64.0,414.0,324.0,01073014204
2726.0,2675.0,0.0,0.0,0.0,51.0,01073001500
3784.0,3387.0,0.0,103.0,143.0,151.0,01073002306
2112.0,2068.0,0.0,25.0,0.0,19.0,01073003400
3365.0,2776.0,12.0,21.0,56.0,500.0,01073005000
2017.0,1963.0,0.0,54.0,0.0,0.0,01073005500
2494.0,2458.0,0.0,0.0,0.0,36.0,01073005702
6073.0,5745.0,0.0,0.0,20.0,308.0,01073005905
4729.0,4653.0,0.0,23.0,19.0,34.0,01073010002
1333.0,1257.0,0.0,0.0,6.0,70.0,01073010500
7284.0,6921.0,74.0,58.0,152.0,79.0,01073010805
4928.0,4537.0,0.0,0.0,125.0,266.0,01073010900
6777.0,6713.0,0.0,20.0,32.0,12.0,01073011400
2995.0,2917.0,11.0,12.0,13.0,42.0,01073012602
4346.0,4207.0,0.0,20.0,75.0,44.0,01073012905
6208.0,5795.0,0.0,53.0,147.0,213.0,01073012906
3698.0,3513.0,0.0,23.0,12.0,150.0,01073003001
1953.0,1763.0,10.0,18.0,23.0,139.0,01073001902
2579.0,2520.0,4.0,25.0,0.0,30.0,01073002200
1960.0,1952.0,0.0,8.0,0.0,0.0,01073002900
4053.0,3951.0,0.0,0.0,36.0,66.0,01073003100
3466.0,3313.0,7.0,17.0,72.0,57.0,01073004702
2017.0,1992.0,0.0,0.0,20.0,5.0,01073004800
2374.0,2342.0,0.0,12.0,0.0,20.0,01073005907
5270.0,5088.0,0.0,9.0,61.0,112.0,01073011207
4315.0,4030.0,14.0,57.0,5.0,209.0,01073011210
7617.0,7125.0,0.0,161.0,212.0,119.0,01073012002
2331.0,2290.0,22.0,0.0,19.0,0.0,01073012402
4018.0,3996.0,0.0,0.0,22.0,0.0,01073012500
3255.0,3236.0,0.0,19.0,0.0,0.0,01013953100
3385.0,3354.0,9.0,22.0,0.0,0.0,01013953200
1448.0,1443.0,0.0,5.0,0.0,0.0,01013953500
1245.0,1230.0,0.0,0.0,15.0,0.0,01013952800
3783.0,3749.0,0.0,0.0,9.0,25.0,01073012302
3456.0,3334.0,0.0,0.0,5.0,117.0,01073013601
2661.0,2613.0,0.0,0.0,19.0,29.0,01073014301
2744.0,2733.0,0.0,0.0,11.0,0.0,01073000700
4897.0,4888.0,0.0,0.0,9.0,0.0,01073001100
1906.0,1826.0,0.0,0.0,18.0,62.0,01073001400
4215.0,4058.0,0.0,26.0,0.0,131.0,01073002000
5149.0,5080.0,0.0,24.0,0.0,45.0,01073003802
2621.0,2484.0,8.0,0.0,16.0,113.0,01073004000
1802.0,1766.0,0.0,0.0,0.0,36.0,01073005101
5019.0,4990.0,0.0,0.0,13.0,16.0,01073010001
3895.0,3830.0,11.0,0.0,0.0,54.0,01073010302
2446.0,2422.0,24.0,0.0,0.0,0.0,01007010001
6041.0,5796.0,0.0,48.0,84.0,113.0,01007010002
4831.0,4812.0,0.0,19.0,0.0,0.0,01007010003
9209.0,9053.0,0.0,28.0,45.0,83.0,01007010004
8680.0,8317.0,2.0,116.0,190.0,55.0,01069040202
2178.0,2150.0,0.0,2.0,0.0,26.0,01069041200
3558.0,3465.0,0.0,34.0,9.0,50.0,01069040500
4030.0,3984.0,6.0,34.0,6.0,0.0,01069041500
5700.0,5641.0,0.0,15.0,31.0,13.0,01069042000
5619.0,5473.0,7.0,9.0,38.0,92.0,01069040100
2959.0,2724.0,49.0,21.0,67.0,98.0,01069040700
5304.0,5172.0,5.0,11.0,40.0,76.0,01069041000
3610.0,3455.0,2.0,31.0,52.0,70.0,01069041100
1957.0,1943.0,0.0,4.0,10.0,0.0,01069041800
7742.0,7605.0,10.0,25.0,39.0,63.0,01069041900
5220.0,5098.0,23.0,23.0,21.0,55.0,01069041600
2021.0,1994.0,0.0,0.0,11.0,16.0,01069040600
4485.0,4373.0,0.0,13.0,0.0,99.0,01071950700
